PMU_SegArb_ExampleB,VMeasCh1,IMeasCh1,VMeasCh2,IMeasCh2,TimeOutput,StatusCh1,StatusCh2,G,R,R_AV
0,-21.0833E-6,1.1602E-6,923.0944E-6,-1.2077E-6,000.0000E+0,,,-1.3083E-3,-764.3309E+0,239.7561E+3
,4.2875E-3,613.0623E-9,923.0944E-6,-659.1874E-9,5.0000E-9,,,-714.1061E-6,-1.4004E+3,
,-4.3297E-3,746.7107E-9,5.3055E-3,711.4053E-9,10.0000E-9,,,134.0883E-6,7.4578E+3,
,-2.8935E-3,198.3870E-9,923.0944E-6,986.3974E-9,15.0000E-9,,,1.0686E-3,935.8241E+0,
,-2.8935E-3,61.1569E-9,-1.9985E-3,575.4866E-9,20.0000E-9,,,-287.9583E-6,-3.4727E+3,
,8.5961E-3,-1.0319E-6,3.8447E-3,163.1198E-9,25.0000E-9,,,42.4272E-6,23.5698E+3,
,-4.3297E-3,-1.0373E-6,2.3839E-3,163.3624E-9,30.0000E-9,,,68.5275E-6,14.5927E+3,
,-10.0745E-3,-627.9787E-9,2.3839E-3,163.3624E-9,35.0000E-9,,,68.5275E-6,14.5927E+3,
,4.2875E-3,-759.2389E-9,2.3839E-3,-933.6943E-9,40.0000E-9,,,-391.6675E-6,-2.5532E+3,
,-21.0833E-6,-1.0355E-6,-537.7064E-6,-796.0768E-9,45.0000E-9,,,1.4805E-3,675.4453E+0,
,1.4151E-3,-897.6631E-9,5.3055E-3,-111.3871E-9,50.0000E-9,,,-20.9947E-6,-47.6312E+3,
,-2.8935E-3,-213.3034E-9,2.3839E-3,300.4944E-9,55.0000E-9,,,126.0519E-6,7.9332E+3,
,-2.8935E-3,-213.3034E-9,-1.9985E-3,-1.0701E-6,60.0000E-9,,,535.4488E-6,1.8676E+3,
,4.2875E-3,201.3719E-9,-3.4593E-3,27.2009E-9,65.0000E-9,,,-7.8631E-6,-127.1761E+3,
,-1.4573E-3,747.9043E-9,3.8447E-3,437.3839E-9,70.0000E-9,,,113.7629E-6,8.7902E+3,
,-21.0833E-6,885.7317E-9,-3.4593E-3,27.2009E-9,75.0000E-9,,,-7.8631E-6,-127.1761E+3,
,5.7237E-3,476.4292E-9,-1.9985E-3,-658.7021E-9,80.0000E-9,,,329.5971E-6,3.0340E+3,
,-2.8935E-3,198.3870E-9,8.2271E-3,-523.2686E-9,85.0000E-9,,,-63.6030E-6,-15.7225E+3,
,-21.0833E-6,-74.8792E-9,-537.7064E-6,-247.5485E-9,90.0000E-9,,,460.3787E-6,2.1721E+3,
,-4.3297E-3,-488.3606E-9,-537.7064E-6,-247.5485E-9,95.0000E-9,,,460.3787E-6,2.1721E+3,
,-2.8935E-3,335.6171E-9,2.3839E-3,-522.2980E-9,100.0000E-9,,,-219.0943E-6,-4.5642E+3,
,-4.3297E-3,746.7107E-9,2.3839E-3,163.3624E-9,105.0000E-9,,,68.5275E-6,14.5927E+3,
,7.1599E-3,1.0259E-6,923.0944E-6,712.1334E-9,110.0000E-9,,,771.4632E-6,1.2962E+3,
,-2.8935E-3,884.5376E-9,2.3839E-3,574.7586E-9,115.0000E-9,,,241.1006E-6,4.1476E+3,
,-4.3297E-3,1.2956E-6,2.3839E-3,-385.1659E-9,120.0000E-9,,,-161.5700E-6,-6.1893E+3,
,10.0323E-3,889.9107E-9,2.3839E-3,-110.9018E-9,125.0000E-9,,,-46.5213E-6,-21.4956E+3,
,-5.7659E-3,883.3435E-9,2.3839E-3,300.4944E-9,130.0000E-9,,,126.0519E-6,7.9332E+3,
